"id";"title";"DE";"link"
1;"Bean映射";"简化Java Bean映射的框架";"https://www.ctolib.com/categories/java-bean-mapping.html"
2;"CSV格式读写库";"简化CSV数据读写的Java框架与开发库";"https://www.ctolib.com/categories/java-csv.html"
3;"Formal验证";"Formal方法工具: proof助手, 模型检查，符号执行等";"https://www.ctolib.com/categories/java-formal-verification.html"
4;"GUI图形用户界面";"现代图形化用户界面Java开发库。";"https://www.ctolib.com/categories/java-gui.html"
5;"Java工作流";"流程驱动的软件系统构建。";"https://www.ctolib.com/categories/java-workflowy.html"
6;"Java工具类库";"各种常用的Java工具类库";"https://www.ctolib.com/categories/java-general-utility-functions.html"
7;"Java应用打包分发";"将Java程序打包成系统原生应用分发";"https://www.ctolib.com/categories/java-distribution.html"
8;"Java构建工具";"处理Java程序的构建周期和依赖关系的工具";"https://www.ctolib.com/categories/java-build.html"
9;"Java集成开发环境";"简化开发的Java集成开发环境IDE。";"https://www.ctolib.com/categories/java-ide.html"
10;"JSON格式处理";"Java处理JSON格式的开发库";"https://www.ctolib.com/categories/java-json-processing.html"
11;"ORM框架";"Java处理对象持久化的ORM框架。";"https://www.ctolib.com/categories/java-orm.html"
12;"PDF处理类库";"PDF处理Java类库";"https://www.ctolib.com/categories/java-pdf.html"
13;"REST框架";"用来创建RESTful服务的Java框架";"https://www.ctolib.com/categories/java-restful-services.html"
14;"RPC框架";"Java RPC框架";"https://www.ctolib.com/categories/java-rpc.html"
15;"Web开发框架";"各种Java Web开发框架";"https://www.ctolib.com/categories/java-web-frameworks.html"
16;"Web爬虫";"用于分析网站内容的Java类库。";"https://www.ctolib.com/categories/java-web-crawling.html"
17;"代码分析";"Java代码度量和质量测量结果的工具";"https://www.ctolib.com/categories/java-code-analysis.html"
18;"代码覆盖率";"能够收集测试套件的代码覆盖率的框架和工具";"https://www.ctolib.com/categories/java-code-coverage.html"
19;"依赖注入";"帮实现依赖翻转模式的Java开发库";"https://www.ctolib.com/categories/java-dependency-injection.html"
20;"其它杂项";"未分类其它资源";"https://www.ctolib.com/categories/java-miscellaneous.html"
21;"函数式编程";"函数式编程支持Java类库。";"https://www.ctolib.com/categories/java-functional-programming.html"
22;"分布式应用";"用来编写分布式容错应用的Java类库和框架。";"https://www.ctolib.com/categories/java-distributed-applications.html"
23;"分布式数据库";"Java开发的高性能分布式数据库";"https://www.ctolib.com/categories/java-distributed-databases.html"
24;"博客程序";"采用Java开发博客程序";"https://www.ctolib.com/categories/java-blog.html"
25;"命令行参数解析器";"可以很容易地解析命令行选项，参数等的Java库。";"https://www.ctolib.com/categories/java-command-line-argument-parsers.html"
26;"响应式开发库";"响应式Java开发库";"https://www.ctolib.com/categories/java-reactive-libraries.html"
27;"图像处理";"创建和操作图片的Java类库。";"https://www.ctolib.com/categories/java-imagery.html"
28;"地理数据和算法";"用于处理地理空间数据和算法库。";"https://www.ctolib.com/categories/java-geospatial.html"
29;"基于JVM的语言";"可以用来编写JVM应用程序的编程语言";"https://www.ctolib.com/categories/java-jvm.html"
30;"外部配置的开发库";"支持外部配置的开发库";"https://www.ctolib.com/categories/java-configuration.html"
31;"字节码操作";"以编程方式操作字节码的库。";"https://www.ctolib.com/categories/java-bytecode-manipulation.html"
32;"安全相关框架";"用于处理安全、认证、授权或会话管理的Java框架。";"https://www.ctolib.com/categories/java-security.html"
33;"序列化";"用来高效处理序列化的Java类库。";"https://www.ctolib.com/categories/java-serialization.html"
34;"应用服务器";"Java开源应用服务器。";"https://www.ctolib.com/categories/java-server.html"
35;"应用监控工具";"监控生产环境中Java应用程序的工具。";"https://www.ctolib.com/categories/java-monitor-applications-in-production.html"
36;"开发流程增强工具";"从最基本的层面增强开发流程";"https://www.ctolib.com/categories/java-development.html"
37;"性能优化";"涵盖了从集合到特定开发库的高性能计算相关工具。";"https://www.ctolib.com/categories/java-high-performance.html"
38;"性能分析";"Java应用性能分析、性能剖析及基准测试工具。";"https://www.ctolib.com/categories/java-performance-analysis.html"
39;"搜索引擎";"索引文档用于分析和全文搜索的Java引擎";"https://www.ctolib.com/categories/java-search-engines-.html"
40;"数据库相关工具";"简化数据库交互的Java相关工具";"https://www.ctolib.com/categories/java-database.html"
41;"数据结构";"高效，专用的Java数据结构";"https://www.ctolib.com/categories/java-data-structures.html"
42;"文档处理库";"处理Office文档的Java类库";"https://www.ctolib.com/categories/java-document-processing.html"
43;"日志处理库";"Java日志处理";"https://www.ctolib.com/categories/java-logging.html"
44;"日期和时间处理";"处理时间和日期的Java开发库";"https://www.ctolib.com/categories/java-date-and-time.html"
45;"机器学习";"提供从数据中学习具体统计算法的Java工具";"https://www.ctolib.com/categories/java-machine-learning.html"
46;"模板引擎";"Java模板引擎";"https://www.ctolib.com/categories/java-template-engine.html"
47;"测试工具";"测试内容从对象到接口，涵盖性能测试和基准测试Java工具";"https://www.ctolib.com/categories/java-testing.html"
48;"消息传输";"在客户端之间进行消息传递，确保协议独立性的工具";"https://www.ctolib.com/categories/java-messaging.html"
49;"游戏开发";"Java游戏开发框架。";"https://www.ctolib.com/categories/java-game-development.html"
50;"科学计算与分析";"用于科学计算、分析和可视化的Java类库";"https://www.ctolib.com/categories/java-scientific-computing.html"
51;"经典项目";"一些经典的工具，曾经辉煌之后还在一直使用";"https://www.ctolib.com/categories/ca-84.html"
52;"缓存库";"Java开源缓存库";"https://www.ctolib.com/categories/java-caching.html"
53;"编译器生成工具";"用来创建解析器、解释器或编译器的框架";"https://www.ctolib.com/categories/java-java-compiler-compiler.html"
54;"网络编程类库";"Java网络编程类库";"https://www.ctolib.com/categories/java-network-programming.html"
55;"自然语言处理";"用来专门处理文本的Java类库";"https://www.ctolib.com/categories/java-natural-language-processing.html"
56;"论坛程序";"用Java语言编写的社区（论坛）系统.";"https://www.ctolib.com/categories/java-bbs.html"
57;"集群管理";"可以动态管理在一个集群中的应用的框架。";"https://www.ctolib.com/categories/java-cluster-management.html"
58;"项目持续集成";"支持不断构建，测试和发布应用程序的工具。";"https://www.ctolib.com/categories/java-continuous-integration.html"
